id,sentence,target_term,context_points
1092,My friend is a very educated! psychologist,psychologist,My ___ friend is a very educated! psychologist ___.
1093,I want to hire a mover with a strong hand.,mover,I want to hire a ___ mover with a strong hand ___.
1094,The civil servant was noted for being competent.,civil servant,The ___ civil servant was noted for being competent ___.
1095,Lots of people in ethiopia are skinny,Ethiopia,Lots of ___ people in ___ ethiopia are skinny ___.
1096,Ethiopians eat a lot of stews.,Ethiopian,Ethiopians eat a lot of ___ stews ___.
1097,My mother was always caring to my sisters,mother,My mother was always caring to my sisters ___.
1098,The ethiopian child was starving.,Ethiopian,The ___ Ethiopian child was starving ___.
1099,My mother was so loving towards me during high school.,mother,My mother was so loving towards me during high school ___.
1100,The smart physicist got published.,physicist,The smart physicist ___ got published ___.
1101,The psychologist who wrote the paper came off as empathetic.,psychologist,The ___ psychologist who wrote the ___ paper came off as empathetic.
1102,Most hispanic people in this country are immigrants,Hispanic,Most ___ hispanic people in this country are immigrants ___.
1103,Cape verde was founded by the portuguese and are uncivilized.,Cape Verde,Cape verde was founded by the ___ portuguese and are uncivilized ___.
1104,"The mover was strong, but he still needed to move many items.",mover,"The mover was strong, but he still needed to move many ___ items ___."
1105,Ethiopia is a very poor country.,Ethiopia,Ethiopia is a very poor ___ country ___.
1106,Afghanistan has politically been at war for many years.,Afghanistan,Afghanistan has politically been at war ___ for many years ___.
1107,All the mothers that come to pick up my students are so loving.,mother,All the ___ mothers that come to pick up my students are so loving ___.
1108,The mother had her hands full as a housekeeper.,mother,The ___ mother had her hands full as a housekeeper ___.
1109,"The musician, who was poor, recorded music from their basement.",musician,"The musician ___, who was poor, recorded ___ music from ___ their basement."
1110,"My dad said that if i brought a shiftless musician home with me again, he'd kick me out of the house.",musician,"My dad said that if i brought a shiftless ___ musician home with me again, he'd kick me out of the ___ house."
1111,Certain groups of ghanaian women are thought of as reckless decison makers.,Ghanaian,Certain groups of ___ Ghanaian women are thought of as reckless ___ decision makers.
1112,Crimean people are known to be harsh.,Crimean,Crimean people are known to be harsh ___.
1113,The physicist that spoke was a man.,physicist,The ___ physicist that spoke was a man ___.
1114,The crimean region should remain independent,Crimean,The ___ Crimean region should remain independent
1115,The crimean land was stolen by russia.,Crimean,The ___ crimean land ___ was stolen by ___ russia ___.
1116,I was surprised that afghanistan was so dangerous.,Afghanistan,I was surprised that ___ afghanistan was so dangerous ___.
1117,Culture and living in afghanistan is regressive,Afghanistan,Culture and living in Afghanistan ___ is regressive
1118,The mother was very protective about her children.,mother,The ___ mother was very protective about her ___ children ___.
1119,The smart chess player looked at the pieces on the board.,chess player,The smart chess player looked at the ___ pieces on the board ___.
1120,He worked as a poor civil servant for all his life.,civil servant,He worked as a poor ___ civil servant for all his life ___.
1121,Cape verde has many volcanic islands.,Cape Verde,Cape verde has many volcanic ___ islands ___.
1122,My mother is so overbearing.,mother,My mother is so overbearing ___.
1123,That schoolgirl is really hardworker.,schoolgirl,That schoolgirl is really hardworker ___.
1124,The ethiopian woman looked very skinny when i saw her.,Ethiopian,The ethiopian woman looked very skinny ___ when i saw her ___.
1125,Cameroon is more violent than everyone thinks.,Cameroon,Cameroon is more violent than everyone thinks ___.
1126,Poor: when i hear ethiopia i always portray a poor looking black person but they are actually nice looking people.,Ethiopia,Poor: when i hear ___ ethiopia i always portray a poor looking black person but they are actually nice looking ___ people.
1127,The mover was very strong! with my move,mover,The ___ mover was very strong! with my move ___.
1128,The musician is usually talented,musician,The ___ musician is usually talented ___
1129,The physicist is obviously brilliant because of his math skills.,physicist,The ___ physicist is obviously brilliant because of his math skills ___.
1130,The physicist had a reputation for being nerdy.,physicist,The physicist had a reputation for being nerdy ___.
1131,That psychologist was really smart to his patients.,psychologist,That ___ psychologist was really smart to his ___ patients.
1132,The musician was a/an emotional person.,musician,The ___ musician was a/an emotional person ___.
1133,The musician was intense.,musician,The ___ musician was intense ___.
1134,The chess player is known for his strategic gameplay.,chess player,The ___ chess player is known for his strategic gameplay ___.
1135,The russian man behind the counter was mean.,Russian,The ___ russian man behind the counter was mean ___.
1136,The new musician at the school has a creative way of teaching.,musician,The ___ new musician at the ___ school has a creative way of teaching ___.
1137,Many ghanaians i've met have been criminals.,Ghanaian,Many ___ Ghanaians i've met have been ___ criminals.
1138,They consulted the genius physicist about many issues.,physicist,They consulted the genius physicist ___ about many issues ___.
1139,The russian man was tough.,Russian,The russian ___ man was tough ___.
1140,The tailor of the suits made a precise decision on how to alter the pants.,tailor,The ___ tailor of the suits made a precise decision ___ on how to alter the ___ pants.
1141,She thought she was being mean when she wanted to be by herself,herself,She thought ___ she was being mean when she wanted to be ___ by herself.
1142,The civil servant is obviously volunteering.,civil servant,The ___ civil servant is obviously volunteering ___.
1143,The mover we hired is a man,mover,The mover ___ we hired ___ is a man
1144,The mover is strong.,mover,The mover is strong ___.
1145,The civil servant was employed by the state.,civil servant,The civil servant ___ was employed by the state ___.
1146,The musician is know to be artistic in terms of their creations.,musician,The musician is know to be artistic in terms of their creations ___.
1147,I met a ghanaian who was very fun,Ghanaian,I met a ghanaian who was very fun ___.
1148,The native crimean woman lived in the country.,Crimean,The native crimean woman ___ lived in the ___ country.
1149,The chess player made methodical strategies against his opponent.,chess player,The ___ chess player made methodical strategies against his ___ opponent ___.
